tbdgd,ksmcbl,thzszbl,tryjzhl,shqk,class
0.06122449,0.97979798,0.020408163,0.514814815,0.022177419,class1
0.06122449,0.97979798,0.020408163,0.514814815,0.022177419,class1
0.039795918,0.878787879,0.07244898,0.52962963,0.022177419,class1
0.039795918,0.878787879,0.07244898,0.52962963,0.022177419,class1
0.039795918,0.878787879,0.07244898,0.52962963,0.022177419,class1
0.081632653,0.838383838,0.051020408,0.548148148,0.022177419,class1
0.02755102,0.949494949,0.064285714,0.592592593,0.022177419,class1
0.039795918,0.878787879,0.07244898,0.625925926,0.022177419,class1
0.039795918,0.878787879,0.07244898,0.625925926,0.022177419,class1
0.06122449,0.97979798,0.020408163,0.662962963,0.022177419,class1
0.010204082,0.878787879,0.051020408,0.662962963,0.022177419,class1
0,0.95959596,0.051020408,0.662962963,0.022177419,class1
0,0.95959596,0.051020408,0.662962963,0.022177419,class1
0.043877551,0.878787879,0.064285714,0.985185185,0.022177419,class1
0.153061224,0.676767677,0.142857143,0.348148148,0.023185484,class1
0.057142857,0.838383838,0.063265306,0.366666667,0.023185484,class1
0.010204082,0.97979798,0.020408163,0.377777778,0.023185484,class1
0.010204082,0.858585859,0.071428571,0.377777778,0.023185484,class1
0.010204082,0.858585859,0.071428571,0.377777778,0.023185484,class1
0.081632653,0.818181818,0.087755102,0.377777778,0.023185484,class1
0.085714286,0.818181818,0.055102041,0.440740741,0.023185484,class1
0.071428571,0.636363636,0.055102041,0.485185185,0.023185484,class1
0.059183673,0.868686869,0.055102041,0.485185185,0.023185484,class1
0.059183673,0.868686869,0.055102041,0.485185185,0.023185484,class1
0.040816327,0.939393939,0,0.537037037,0.023185484,class1
0.084693878,0.646464646,0.063265306,0.555555556,0.023185484,class1
0.057142857,0.838383838,0.063265306,0.555555556,0.023185484,class1
0.057142857,0.838383838,0.063265306,0.555555556,0.023185484,class1
0.080612245,0.727272727,0.014285714,0.622222222,0.023185484,class1
0.010204082,0.858585859,0.071428571,0.625925926,0.023185484,class1
0.065306122,0.787878788,0.078571429,0.648148148,0.023185484,class1
0.073469388,0.777777778,0.016326531,0.67037037,0.023185484,class1
0.030612245,0.808080808,0.040816327,0.688888889,0.023185484,class1
0.059183673,0.868686869,0.055102041,0.7,0.023185484,class1
0.059183673,0.868686869,0.055102041,0.7,0.023185484,class1
0.060204082,0.909090909,0.055102041,0.7,0.023185484,class1
0.048979592,0.808080808,0.055102041,0.377777778,0.024193548,class1
0.055102041,0.888888889,0.067346939,0.377777778,0.024193548,class1
0.059183673,0.96969697,0.076530612,0.444444444,0.024193548,class1
0.073469388,0.777777778,0.016326531,0.514814815,0.024193548,class1
0.046938776,0.858585859,0.064285714,0.514814815,0.024193548,class1
0.062244898,0.929292929,0.065306122,0.514814815,0.024193548,class1
0.081632653,0.797979798,0.070408163,0.555555556,0.024193548,class1
0.066326531,0.868686869,0.075510204,0.555555556,0.024193548,class1
0.062244898,0.838383838,0.063265306,0.607407407,0.024193548,class1
0.071428571,0.96969697,0.068367347,0.62962963,0.024193548,class1
0.059183673,0.97979798,0.055102041,0.633333333,0.024193548,class1
0.056122449,0.838383838,0.006122449,0.659259259,0.024193548,class1
0.073469388,0.848484848,0.016326531,0.67037037,0.024193548,class1
0.066326531,0.96969697,0.028571429,0.67037037,0.024193548,class1
0.044897959,0.898989899,0.076530612,0.811111111,0.024193548,class1
0.054081633,0.929292929,0.076530612,0.811111111,0.024193548,class1
0.116326531,0.686868687,0.290816327,0.307407407,0.025201613,class1
0.184693878,0.717171717,0.244897959,0.311111111,0.025201613,class1
0.241836735,0.743434343,0.132653061,0.340740741,0.025201613,class1
0.187755102,0.585858586,0.142857143,0.344444444,0.025201613,class1
0.158163265,0.745454545,0.234693878,0.348148148,0.025201613,class1
0.040816327,0.868686869,0.010204082,0.477777778,0.025201613,class1
0.071428571,0.909090909,0.046938776,0.514814815,0.025201613,class1
0.040816327,0.868686869,0.06122449,0.537037037,0.025201613,class1
0.040816327,0.868686869,0.06122449,0.537037037,0.025201613,class1
0.040816327,0.868686869,0.06122449,0.537037037,0.025201613,class1
0.08877551,0.898989899,0.06122449,0.537037037,0.025201613,class1
0.065306122,0.919191919,0.06122449,0.537037037,0.025201613,class1
0.040816327,0.95959596,0.06122449,0.537037037,0.025201613,class1
0.179591837,0.707070707,0.142857143,0.348148148,0.025806452,class1
0.071428571,0.939393939,0.087755102,0.440740741,0.025806452,class1
0.073469388,0.787878788,0.040816327,0.5,0.025806452,class1
0.071428571,0.898989899,0.040816327,0.5,0.025806452,class1
0.071428571,0.939393939,0.040816327,0.5,0.025806452,class1
0.071428571,0.939393939,0.040816327,0.5,0.025806452,class1
0.075510204,0.949494949,0.040816327,0.5,0.025806452,class1
0.081632653,0.888888889,0.075510204,0.507407407,0.025806452,class1
0.071428571,0.939393939,0,0.555555556,0.025806452,class1
0.155102041,0.545454545,0.204081633,0.307407407,0.026209677,class1
0.225510204,0.636363636,0.265306122,0.307407407,0.026209677,class1
0.171428571,0.505050505,0.275510204,0.307407407,0.026209677,class1
0.225510204,0.545454545,0.142857143,0.311111111,0.026209677,class1
0.154081633,0.585858586,0.255102041,0.340740741,0.026209677,class1
0.010204082,0.797979798,0.069387755,0.418518519,0.026209677,class1
0.067346939,0.949494949,0.083673469,0.418518519,0.026209677,class1
0.042857143,0.96969697,0.085714286,0.422222222,0.026209677,class1
0.030612245,0.676767677,0.087755102,0.422222222,0.026209677,class1
0.042857143,0.787878788,0.087755102,0.422222222,0.026209677,class1
0.063265306,0.787878788,0.070408163,0.425925926,0.026209677,class1
0.063265306,0.787878788,0.070408163,0.425925926,0.026209677,class1
0,0.95959596,0.051020408,0.440740741,0.026209677,class1
0.043877551,0.888888889,0.067346939,0.440740741,0.026209677,class1
0.040816327,0.878787879,0.030612245,0.477777778,0.026209677,class1
0.042857143,0.787878788,0.087755102,0.514814815,0.026209677,class1
0.08877551,0.808080808,0.083673469,0.544444444,0.026209677,class1
0.030612245,0.888888889,0.051020408,0.555555556,0.026209677,class1
0.063265306,0.767676768,0.084693878,0.555555556,0.026209677,class1
0.063265306,0.787878788,0.084693878,0.555555556,0.026209677,class1
0.071428571,0.636363636,0.067346939,0.566666667,0.026209677,class1
0.043877551,0.888888889,0.067346939,0.566666667,0.026209677,class1
0.043877551,0.818181818,0.082653061,0.566666667,0.026209677,class1
0.085714286,0.909090909,0.071428571,0.588888889,0.026209677,class1
0.083673469,0.898989899,0.071428571,0.625925926,0.026209677,class1
0.02755102,0.756565657,0.079591837,0.633333333,0.026209677,class1
0.063265306,0.767676768,0.084693878,0.662962963,0.026209677,class1
0.063265306,0.767676768,0.084693878,0.662962963,0.026209677,class1
0.010204082,0.575757576,0.069387755,0.666666667,0.026209677,class1
0.010204082,0.797979798,0.069387755,0.666666667,0.026209677,class1
0.010204082,0.797979798,0.069387755,0.666666667,0.026209677,class1
0.063265306,0.787878788,0.070408163,0.674074074,0.026209677,class1
0.063265306,0.787878788,0.070408163,0.674074074,0.026209677,class1
0.063265306,0.787878788,0.070408163,0.674074074,0.026209677,class1
0.063265306,0.787878788,0.070408163,0.674074074,0.026209677,class1
0.010204082,0.96969697,0.078571429,0.7,0.026209677,class1
0.055102041,0.787878788,0.024489796,0.711111111,0.026209677,class1
0.055102041,0.787878788,0.024489796,0.711111111,0.026209677,class1
0.055102041,0.787878788,0.024489796,0.711111111,0.026209677,class1
0.055102041,0.787878788,0.024489796,0.711111111,0.026209677,class1
0.075510204,0.909090909,0.071428571,0.722222222,0.026209677,class1
0.243877551,0.575757576,0.163265306,0.311111111,0.027620968,class1
0.06122449,0.898989899,0.024489796,0.425925926,0.027620968,class1
0.065306122,0.787878788,0.069387755,0.444444444,0.027620968,class1
0.065306122,0.787878788,0.069387755,0.444444444,0.027620968,class1
0.065306122,0.838383838,0.069387755,0.444444444,0.027620968,class1
0.065306122,0.787878788,0,0.555555556,0.027620968,class1
0.247959184,0.525252525,0.255102041,0.292592593,0.028225806,class1
0.040816327,0.97979798,0.051020408,0.425925926,0.028225806,class1
0.040816327,0.97979798,0.051020408,0.425925926,0.028225806,class1
0.040816327,0.757575758,0.081632653,0.425925926,0.028225806,class1
0.065306122,1,0.064285714,0.511111111,0.028225806,class1
0.007142857,0.808080808,0.045918367,0.555555556,0.028225806,class1
0.040816327,0.97979798,0.051020408,0.796296296,0.028225806,class1
0.123469388,0.745454545,0.12244898,0.3,0.028629032,class1
0,0.797979798,0.079591837,0.437037037,0.028629032,class1
0.046938776,0.777777778,0.073469388,0.485185185,0.028629032,class1
0.046938776,0.777777778,0.073469388,0.485185185,0.028629032,class1
0.081632653,0.808080808,0.026530612,0.540740741,0.028629032,class1
0.081632653,0.808080808,0.026530612,0.540740741,0.028629032,class1
0.081632653,0.808080808,0.026530612,0.540740741,0.028629032,class1
0.081632653,0.909090909,0.026530612,0.540740741,0.028629032,class1
0.009183673,0.898989899,0.045918367,0.540740741,0.028629032,class1
0.063265306,0.767676768,0.084693878,0.540740741,0.028629032,class1
0.046938776,0.777777778,0.073469388,0.607407407,0.028629032,class1
0.046938776,0.777777778,0.073469388,0.607407407,0.028629032,class1
0.046938776,0.777777778,0.073469388,0.607407407,0.028629032,class1
0.046938776,0.777777778,0.073469388,0.607407407,0.028629032,class1
0.081632653,0.808080808,0.026530612,0.662962963,0.028629032,class1
0.024489796,0.828282828,0.041836735,0.455555556,0.029233871,class1
0.024489796,0.828282828,0.041836735,0.455555556,0.029233871,class1
0.024489796,0.828282828,0.041836735,0.637037037,0.029233871,class1
0.024489796,0.828282828,0.041836735,0.637037037,0.029233871,class1
0.024489796,0.828282828,0.041836735,0.637037037,0.029233871,class1
0.024489796,0.828282828,0.041836735,0.637037037,0.029233871,class1
0.146938776,0.686868687,0.214285714,0.3,0.032258065,class1
0.123469388,0.707070707,0.244897959,0.32962963,0.032258065,class1
0.142857143,0.555555556,0.224489796,0.337037037,0.032258065,class1
0.117346939,0.747474747,0.12244898,0.362962963,0.032258065,class1
0.173469388,0.696969697,0.224489796,0.366666667,0.032258065,class1
0.010204082,0.818181818,0.030612245,0.381481481,0.032258065,class1
0.010204082,0.818181818,0.030612245,0.381481481,0.032258065,class1
0.040816327,0.818181818,0.030612245,0.381481481,0.032258065,class1
0.071428571,0.838383838,0.040816327,0.403703704,0.032258065,class1
0.071428571,0.838383838,0.040816327,0.403703704,0.032258065,class1
0.071428571,0.838383838,0.040816327,0.403703704,0.032258065,class1
0.083673469,0.757575758,0.090816327,0.403703704,0.032258065,class1
0.083673469,0.757575758,0.090816327,0.403703704,0.032258065,class1
0.083673469,0.939393939,0.090816327,0.403703704,0.032258065,class1
0.087755102,0.848484848,0.002040816,0.444444444,0.032258065,class1
0.083673469,0.838383838,0.073469388,0.444444444,0.032258065,class1
0.009183673,0.787878788,0.079591837,0.444444444,0.032258065,class1
0.030612245,0.838383838,0.030612245,0.459259259,0.032258065,class1
0.030612245,0.95959596,0.071428571,0.459259259,0.032258065,class1
0.030612245,0.95959596,0.071428571,0.459259259,0.032258065,class1
0.082653061,0.919191919,0.082653061,0.459259259,0.032258065,class1
0.062244898,0.878787879,0.044897959,0.474074074,0.032258065,class1
0.030612245,0.686868687,0.06122449,0.477777778,0.032258065,class1
0.010204082,0.797979798,0.06122449,0.477777778,0.032258065,class1
0.030612245,0.898989899,0.06122449,0.477777778,0.032258065,class1
0.081632653,0.888888889,0.051020408,0.488888889,0.032258065,class1
0.021428571,0.878787879,0.05,0.5,0.032258065,class1
0.039795918,0.828282828,0.031632653,0.518518519,0.032258065,class1
0.064285714,0.787878788,0.083673469,0.52962963,0.032258065,class1
0.076530612,0.787878788,0.080612245,0.537037037,0.032258065,class1
0,0.909090909,0.06122449,0.544444444,0.032258065,class1
0.020408163,0.575757576,0.030612245,0.551851852,0.032258065,class1
0,0.777777778,0.030612245,0.551851852,0.032258065,class1
0.051020408,0.909090909,0.030612245,0.551851852,0.032258065,class1
0.032653061,0.777777778,0.083673469,0.555555556,0.032258065,class1
0.064285714,0.878787879,0.090816327,0.555555556,0.032258065,class1
0.042857143,0.848484848,0.046938776,0.559259259,0.032258065,class1
0.010204082,0.818181818,0.030612245,0.588888889,0.032258065,class1
0.010204082,0.818181818,0.030612245,0.588888889,0.032258065,class1
0.010204082,0.818181818,0.030612245,0.588888889,0.032258065,class1
0.048979592,0.898989899,0.066326531,0.67037037,0.032258065,class1
0,0.777777778,0.030612245,0.7,0.032258065,class1
0,0.777777778,0.030612245,0.7,0.032258065,class1
0.020408163,0.96969697,0.030612245,0.7,0.032258065,class1
0.041836735,0.777777778,0.056122449,0.748148148,0.032258065,class1
0.071428571,0.838383838,0.040816327,0.774074074,0.032258065,class1
0.030612245,0.95959596,0.071428571,0.814814815,0.032258065,class1
0.054081633,0.96969697,0.028571429,0.848148148,0.032258065,class1
0.030612245,0.898989899,0.06122449,0.848148148,0.032258065,class1
0.030612245,0.898989899,0.06122449,0.848148148,0.032258065,class1
0.071428571,0.939393939,0.06122449,0.848148148,0.032258065,class1
0.066326531,0.828282828,0.064285714,0.851851852,0.032258065,class1
0.117346939,0.712121212,0.153061224,0.303703704,0.033266129,class1
0.116326531,0.731313131,0.132653061,0.311111111,0.033266129,class1
0.248979592,0.595959596,0.12244898,0.344444444,0.033266129,class1
0.207142857,0.696969697,0.142857143,0.355555556,0.033266129,class1
0.197959184,0.696969697,0.234693878,0.362962963,0.033266129,class1
0.06122449,0.787878788,0.030612245,0.403703704,0.033266129,class1
0.040816327,0.797979798,0.069387755,0.440740741,0.033266129,class1
0.030612245,0.696969697,0.067346939,0.444444444,0.033266129,class1
0.051020408,0.939393939,0.067346939,0.444444444,0.033266129,class1
0.051020408,0.939393939,0.067346939,0.444444444,0.033266129,class1
0.060204082,0.909090909,0.082653061,0.455555556,0.033266129,class1
0.071428571,0.676767677,0.065306122,0.481481481,0.033266129,class1
0.054081633,0.929292929,0.065306122,0.481481481,0.033266129,class1
0.054081633,0.929292929,0.065306122,0.481481481,0.033266129,class1
0.081632653,0.848484848,0.020408163,0.514814815,0.033266129,class1
0,0.868686869,0.071428571,0.514814815,0.033266129,class1
0.071428571,0.939393939,0.057142857,0.537037037,0.033266129,class1
0.081632653,0.585858586,0.055102041,0.555555556,0.033266129,class1
0.010204082,0.745454545,0.055102041,0.555555556,0.033266129,class1
0.058163265,0.808080808,0.055102041,0.555555556,0.033266129,class1
0.058163265,0.808080808,0.055102041,0.555555556,0.033266129,class1
0.05,0.97979798,0.055102041,0.555555556,0.033266129,class1
0.05,0.97979798,0.055102041,0.555555556,0.033266129,class1
0.05,0.97979798,0.055102041,0.555555556,0.033266129,class1
0.075510204,0.707070707,0.083673469,0.559259259,0.033266129,class1
0.030612245,0.728282828,0.028571429,0.592592593,0.033266129,class1
0.047959184,0.96969697,0.028571429,0.592592593,0.033266129,class1
0.047959184,0.96969697,0.028571429,0.592592593,0.033266129,class1
0.051020408,0.898989899,0.078571429,0.674074074,0.033266129,class1
0.075510204,0.787878788,0.025510204,0.7,0.033266129,class1
0.058163265,0.808080808,0.055102041,0.7,0.033266129,class1
0.058163265,0.808080808,0.055102041,0.7,0.033266129,class1
0.064285714,0.939393939,0.034693878,0.711111111,0.033266129,class1
0.051020408,0.939393939,0.067346939,0.82962963,0.033266129,class1
0.047959184,0.96969697,0.028571429,0.848148148,0.033266129,class1
0.054081633,0.929292929,0.065306122,0.848148148,0.033266129,class1
0.05,0.97979798,0.055102041,0.951851852,0.033266129,class1
0.083673469,0.929292929,0.076530612,0.444444444,0.034274194,class1
0.070408163,0.878787879,0.062244898,0.514814815,0.034274194,class1
0.070408163,0.878787879,0.062244898,0.514814815,0.034274194,class1
